VSF,Count
15.85,142
15.87,142
16.05,142
15.37,141
16.28,141
16.47,141
16.6,141
15.66,140
16.69,140
16.02,139
16.18,139
16.32,139
16.73,139
17.15,139
15.32,138
15.48,138
15.53,138
16.13,138
16.7,138
15.91,137
15.92,137
16.51,137
16.74,137
17.2,137
15.47,136
15.52,136
15.56,136
15.72,136
15.96,136
16.07,136
16.17,136
16.24,136
16.92,136
17.01,136
17.28,136
15.46,135
16.48,135
16.71,135
16.76,135
16.96,135
17.58,135
15.21,134
15.73,134
15.79,134
16.31,134
16.42,134
16.56,134
17.31,134
15.64,133
16.21,133
16.38,133
16.77,133
16.79,133
15.29,132
15.36,132
16.54,132
17.04,132
17.93,132
15.82,131
16.33,131
16.57,131
16.61,131
16.81,131
17.05,131
17.79,131
15.9,130
16,130
16.4,130
16.83,130
16.85,130
16.68,129
16.75,129
17.11,129
17.29,129
17.85,129
16.12,128
16.3,128
16.35,128
16.82,128
17.16,128
18.01,128
15.99,127
16.25,127
16.29,127
16.49,127
16.53,127
16.86,127
17.02,127
17.3,127
17.55,127
17.94,127
15.67,126
17.06,126
17.56,126
15.71,125
16.34,125
16.78,125
16.87,125
17.19,125
17.32,125
16.44,124
16.98,124
17.27,124
17.7,124
17.73,124
16.04,123
16.11,123
16.39,123
16.41,123
16.55,123
16.84,123
16.88,123
16.89,123
16.99,123
17.12,123
17.17,123
17.44,123
17.48,123
17.78,123
17.98,123
18.07,123
16.01,122
16.19,122
16.65,122
17.21,122
17.22,122
17.09,121
17.63,121
17.74,121
17.07,120
17.26,120
17.92,120
18.46,120
17.25,119
17.41,119
17.42,119
17.47,119
17.5,119
18.26,119
16.93,118
17.08,118
16.46,117
17.23,117
17.61,117
18.06,117
17,116
17.36,116
17.52,116
17.66,116
17.89,116
18.15,116
18.32,116
18.47,116
16.58,115
16.72,115
17.1,115
17.39,115
17.84,115
19.1,115
16.67,114
18.13,114
18.23,114
18.38,114
18.55,114
16.09,113
16.97,113
17.34,113
17.37,113
17.76,113
17.9,113
16.94,112
17.67,112
17.72,112
17.8,112
18.08,112
18.18,112
18.25,112
18.57,112
18.62,112
18.91,112
16.52,111
17.4,111
17.62,111
17.83,111
17.86,111
18.02,111
18.21,111
18.92,111
16.91,110
17.33,110
17.35,110
17.49,110
17.57,110
17.64,110
17.82,110
18.42,110
18.73,110
17.14,109
17.51,109
17.68,109
17.88,109
17.91,109
18.37,109
18.71,109
17.46,108
17.96,108
18.24,108
16.8,107
17.75,107
17.77,107
18.03,107
18.52,107
18.83,107
17.24,106
17.6,106
17.65,106
18.04,106
18.14,106
18.63,106
18.9,106
19.01,106
16.9,105
17.69,105
18.09,105
18.11,105
18.2,105
18.22,105
18.34,105
18.6,105
18.66,105
19.14,105
19.22,105
19.39,105
19.42,105
19.54,105
19.63,105
19.7,105
17.38,104
17.43,104
18.05,104
18.43,104
17.53,103
17.71,103
18.1,103
18.45,103
18.56,103
18.64,103
19.46,103
19.66,103
20.81,103
18.76,102
19.08,102
20,102
17.87,101
17.95,101
18.16,101
18.35,101
18.5,101
18.67,101
18.85,101
19.17,101
16.95,100
17.97,100
18.17,100
18.4,100
18.41,100
18.51,100
18.58,100
19.37,100
20.12,100
18,99
18.3,99
18.99,99
19.16,99
19.23,99
19.24,99
19.3,99
18.33,98
18.36,98
18.44,98
19.02,98
19.18,98
19.2,98
19.35,98
19.64,98
19.93,98
20.03,98
20.17,98
20.33,98
17.45,97
17.54,97
17.99,97
19.03,97
19.28,97
19.53,97
19.82,97
17.03,96
18.27,96
18.59,96
18.69,96
18.7,96
18.79,96
18.84,96
19.07,96
19.21,96
19.29,96
19.45,96
19.59,96
19.77,96
17.18,95
18.12,95
18.48,95
18.49,95
18.54,95
18.65,95
18.98,95
19.05,95
19.13,95
19.47,95
19.65,95
20.18,95
18.75,94
18.96,94
19,94
19.04,94
19.55,94
19.78,94
20.25,94
18.28,93
18.8,93
18.87,93
19.33,93
19.36,93
19.51,93
19.83,93
19.86,93
20.3,93
20.41,93
20.54,93
18.31,92
18.82,92
19.06,92
19.38,92
19.62,92
19.75,92
20.07,92
20.46,92
20.52,92
20.7,92
20.84,92
20.99,92
21.23,92
17.81,91
18.61,91
18.78,91
19.15,91
19.41,91
19.43,91
19.49,91
20.01,91
18.88,90
19.58,90
20.06,90
20.08,90
20.42,90
20.5,90
20.83,90
21.06,90
18.19,89
18.29,89
18.72,89
18.89,89
18.95,89
19.25,89
19.4,89
19.67,89
19.96,89
20.1,89
20.27,89
20.35,89
20.39,89
20.75,89
19.34,88
19.74,88
19.91,88
20.05,88
20.66,88
20.71,88
21.31,88
20.13,87
20.2,87
20.78,87
21.15,87
19.31,86
19.44,86
19.48,86
19.5,86
19.81,86
19.88,86
19.99,86
20.02,86
20.34,86
20.45,86
20.62,86
20.73,86
21.47,86
18.53,85
18.74,85
18.97,85
19.26,85
19.85,85
20.28,85
20.65,85
20.74,85
20.86,85
20.98,85
21.21,85
21.5,85
21.66,85
17.59,84
19.11,84
19.12,84
19.57,84
19.73,84
20.14,84
20.38,84
20.48,84
20.49,84
20.59,84
21.12,84
21.25,84
21.69,84
18.86,83
19.84,83
19.89,83
19.92,83
19.97,83
19.98,83
20.16,83
21.09,83
18.81,82
19.09,82
19.19,82
19.32,82
19.9,82
20.04,82
20.44,82
20.47,82
20.56,82
21.02,82
21.14,82
18.39,81
18.68,81
20.11,81
20.31,81
20.43,81
20.57,81
20.68,81
20.8,81
20.97,81
21.1,81
21.99,81
22.36,81
19.71,80
19.79,80
20.19,80
20.23,80
20.67,80
20.77,80
21.81,80
22.23,80
22.66,80
19.52,79
19.95,79
20.26,79
20.76,79
21.11,79
21.29,79
21.3,79
21.57,79
22.02,79
22.03,79
18.93,78
19.68,78
19.72,78
20.29,78
20.72,78
21.08,78
21.43,78
22.46,78
23.24,78
19.27,77
19.76,77
19.94,77
20.61,77
20.79,77
21.04,77
21.17,77
21.22,77
21.24,77
21.27,77
21.39,77
21.56,77
21.62,77
21.91,77
19.61,76
20.21,76
20.22,76
20.95,76
20.96,76
21.32,76
21.35,76
21.44,76
21.59,76
22.11,76
22.22,76
22.33,76
22.57,76
22.61,76
19.69,75
20.24,75
20.36,75
20.88,75
20.9,75
20.93,75
21.64,75
21.73,75
22.38,75
22.54,75
22.62,75
22.68,75
22.91,75
18.77,74
19.87,74
21.16,74
21.28,74
21.8,74
21.85,74
19.6,73
20.15,73
20.85,73
21.41,73
21.42,73
21.48,73
21.55,73
21.61,73
21.7,73
21.92,73
22.34,73
22.42,73
22.45,73
22.8,73
23.48,73
24.27,73
20.32,72
20.37,72
20.63,72
21.13,72
22.17,72
22.72,72
22.81,72
22.88,72
23,72
24.52,72
21.03,71
21.05,71
21.58,71
21.9,71
22.26,71
22.31,71
22.79,71
22.84,71
23.35,71
18.94,70
19.56,70
19.8,70
20.09,70
20.64,70
20.89,70
21,70
21.26,70
21.45,70
21.68,70
21.75,70
22.08,70
22.19,70
22.2,70
22.29,70
22.47,70
22.49,70
22.53,70
22.6,70
22.9,70
23.21,70
23.31,70
23.33,70
23.41,70
23.58,70
23.95,70
23.96,70
25.08,70
20.4,69
20.6,69
21.6,69
21.67,69
21.82,69
21.86,69
21.88,69
21.89,69
21.94,69
22,69
22.07,69
22.16,69
22.37,69
23.39,69
23.99,69
25.46,69
20.53,68
20.55,68
20.58,68
20.82,68
20.87,68
20.94,68
21.18,68
